Location,Date1,Date2,Date3,Date4,SightingCount1,SightingCount2,SightingCount3,SightingCount4
OH,9/16/2019,3/9/2019,4/6/2019,5/15/2019,66,65,15,84
VA,10/6/2019,5/2/2019,3/26/2019,10/29/2019,96,96,40,82
LA,9/1/2019,8/4/2019,12/28/2018,6/11/2019,28,62,57,1
CA,3/27/2019,10/25/2019,7/24/2019,2/6/2019,40,37,93,67
MA,5/31/2019,4/27/2019,12/28/2018,10/19/2019,28,7,16,29
NV,3/19/2019,5/2/2019,1/5/2019,7/1/2019,71,48,32,90
TX,11/27/2018,1/17/2019,1/3/2019,7/7/2019,90,1,10,17
PA,5/4/2019,7/6/2019,10/1/2019,7/4/2019,23,75,87,37
CA,11/12/2019,5/30/2019,12/24/2018,12/3/2018,15,22,42,62
CA,8/16/2019,9/8/2019,2/14/2019,9/22/2019,3,22,68,51
MN,1/13/2019,3/31/2019,9/6/2019,10/6/2019,81,17,7,41
DC,1/9/2019,3/14/2019,4/17/2019,5/18/2019,28,73,6,15
NY,2/9/2019,3/5/2019,11/14/2019,8/28/2019,63,25,4,74
FL,11/19/2019,11/30/2018,6/21/2019,8/9/2019,98,93,14,37
